,,,
Referrer,Count,Label,Types
P6714,1058,Whitney Museum of American Art artist ID'@en,"Wikidata property related to New York City'@en,'Wikidata property for authority control for artists'@en"
P2025,1055,Find A Grave cemetery ID'@en,Wikidata property for authority control for cemeteries'@en
P7668,1051,file page'@en,Wikidata qualifier'@en
P1651,1050,YouTube video ID'@en,"Wikidata property related to video-sharing services'@en,'Wikidata property to identify online videos'@en,'Wikidata property for an identifier that does not imply notability'@en"
P2038,1048,ResearchGate profile ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to research'@en,'Wikidata property related to websites'@en"
P4114,1048,ADK member ID'@en,"Wikidata property related to Berlin'@en,'Wikidata property for an identifier'@en,'Wikidata property related to art'@en"
P1959,1047,Dutch Senate person ID'@en,Wikidata property for authority control for politicians'@en
P2538,1042,Nationalmuseum Sweden ID'@en,"Wikidata property related to art'@en,'Wikidata property for authority control for artists'@en"
P3429,1038,Electronic Enlightenment ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property related to the Early Modern period'@en"
P4717,1038,Académie française member ID'@en,"Wikidata property for authority control (academies)'@en,'Wikidata property for authority control for people'@en"
P1749,1027,Parlement.com ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property for authority control for politicians'@en"
P5343,1027,Poets.org poet ID'@en,"Wikidata property related to poetry'@en,'Wikidata property for authority control for writers'@en"
P4742,1025,Uniform Resource Identifier Scheme'@en,Wikidata property for items about software'@en
P8179,1020,Canadiana Name Authority ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier'@en,'Wikidata property for authority control by VIAF member'@en,'Wikidata property for an identifier that does not imply notability'@en"
P5361,1010,BNB person ID'@en,Wikidata property for authority control for people'@en
P5597,1008,Artcyclopedia artist ID'@en,Wikidata property for authority control for artists'@en
P973,1008,described at URL'@en,Wikidata property'@en
P1229,1004,Openpolis ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for authority control for politicians'@en"
P8800,1004,European Film Awards ID'@en,"Wikidata property to identify films'@en,'Wikidata property related to awards, prizes and honours'@en"
P1243,996,ISRC'@en,"Wikidata property for an international standard identifier'@en,'Wikidata property to identify audio tracks'@en"
P5142,995,Chinese Political Elites Database ID'@en,Wikidata property for authority control for politicians'@en
P1292,994,DNB editions'@en,"Wikidata property for items about works'@en,'Wikidata property to identify books'@en"
P7416,991,folio(s)'@en,"Wikidata property to indicate a source'@en,'Wikidata property with datatype string that is not an external identifier'@en"
P6199,989,member of the Portuguese parliament ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for authority control for politicians'@en"
P10667,983,ACNP library ID'@en,Wikidata property to identify libraries'@en
P2800,978,Beach Volleyball Database ID'@en,Wikidata property for authority control for beach volleyball players'@en
P8385,973,IDU person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to theater'@en"
P2266,967,FMD model ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to fashion'@en"
P6300,965,Hymnary author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en"
P8168,962,FactGrid item ID'@en,"Wikidata property for an identifier'@en,'Wikidata property linking to external MediaWiki wiki'@en"
P2410,961,WikiPathways ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to biology'@en"
P8080,960,Ökumenisches Heiligenlexikon ID'@en,"Wikidata property for authority control for saints'@en,'Wikidata property related to biographical dictionaries'@en"
P2704,959,EIDR content ID'@en,"Wikidata property to identify television series episodes'@en,'Wikidata property for authority control for works'@en,'Wikidata property to identify films'@en,'Wikidata property to identify television shows'@en"
P1463,958,Post-Reformation Digital Library author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control (libraries)'@en"
P3634,956,The Met object ID'@en,"Wikidata property related to New York City'@en,'Wikidata property related to museums'@en,'Wikidata property for an identifier'@en,'Wikidata property to identify artworks'@en"
P10001,955,Austrian Football Association player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property related to a national football federation'@en"
P10448,915,Traveloka hotel ID'@en,"Wikidata property for authority control for hotels'@en,'Wikidata property related to e-commerce'@en"
P6342,914,Dictionnaire des Wallons ID'@en,Wikidata property related to biographical dictionaries'@en
P485,910,archives at'@en,"Wikidata property to indicate a source'@en,'Wikidata property for participating organizations'@en,'Wikidata property related to archives'@en"
P1564,892,At the Circulating Library ID'@en,Wikidata property for authority control for writers'@en
P409,885,Libraries Australia ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control by VIAF member'@en"
P3184,880,Czech National Bibliography ID'@en,"Wikidata property to identify books'@en,'Wikidata property for authority control (libraries)'@en"
P8998,878,Magyar életrajzi lexikon ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P2273,877,Heidelberg Academy for Sciences and Humanities member ID'@en,"Wikidata property for authority control (academies)'@en,'Wikidata property for authority control for people'@en"
P2930,874,INSPIRE-HEP author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to physics'@en,'Wikidata property related to research'@en"
P637,874,RefSeq protein ID'@en,"Wikidata property related to medicine'@en,'Wikidata property to identify proteins'@en"
P5726,873,Pietre della Memoria ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for authority control for cemeteries'@en,'Wikidata property for an identifier that suggests notability'@en"
P3153,871,Crossref funder ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property related to research'@en"
P8348,868,NVE River Network (ELVIS) ID'@en,Wikidata property for authority control for places'@en
P1025,856,SUDOC editions'@en,"Wikidata property to identify books'@en,'Wikidata property for authority control (libraries)'@en"
P7625,856,WPI ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to maritime and inland waterway transport'@en"
P863,856,InPhO ID'@en,"Wikidata property for authority control'@en,'Wikidata property related to philosophy'@en"
P2745,855,Dictionary of New Zealand Biography ID'@en,Wikidata property related to biographical dictionaries'@en
P7436,855,WorldReferee.com referee ID'@en,Wikidata property to identify association football referees'@en
P2729,852,BWF.tournamentsoftware.com player ID'@en,Wikidata property for authority control for badminton players'@en
P4534,847,EUTA person ID'@en,"Wikidata property related to theater'@en,'Wikidata property for authority control for architects'@en"
P3961,840,Unifrance film ID'@en,Wikidata property to identify films'@en
P8613,835,Regesta Ecclesiastica Salisburgensia ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en"
P2776,833,FIS Nordic combined skier ID'@en,"Wikidata property for authority control for skiers'@en,'Wikidata property for an identifier that suggests notability'@en"
P9468,832,LIMA media artist ID'@en,Wikidata property for authority control for artists'@en
P2755,829,exploitation visa number'@en,Wikidata property to identify films'@en
P8206,826,Gazette of India notification'@en,"Wikidata property'@en,'Wikidata property with datatype string that is not an external identifier'@en"
P3663,825,Fotbal DNES player ID'@en,Wikidata property for authority control for association football players'@en
P1631,815,China Vitae person ID'@en,"Wikidata property related to encyclopedias'@en,'Wikidata property for authority control for politicians'@en"
P9097,811,American Academy in Rome ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control (libraries)'@en"
P4779,806,MYmovies actor ID (former scheme)'@en,"Wikidata property for a former identification scheme'@en,'Wikidata property for authority control for actors'@en,'Wikidata property for identification in the film industry'@en"
P5273,800,Nelson-Atkins Museum of Art person ID'@en,Wikidata property for authority control for artists'@en
P3409,797,Catalogus Professorum Lipsiensis ID'@en,"Wikidata property for authority control for academicians'@en,'Wikidata property for an identifier that suggests notability'@en"
P3603,794,Minneapolis Institute of Art constituent ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property related to art'@en,'Wikidata property for authority control for artists'@en"
P5628,793,Football.it female player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property related to women\'s sport'@en"
P1807,791,Great Aragonese Encyclopedia ID'@en,Wikidata property related to encyclopedias'@en
P1364,783,ITTF table tennis player ID'@en,"Wikidata property related to racket sports'@en,'Wikidata property for authority control for sports people'@en"
P11340,781,,
P4629,780,Online Books Page author ID'@en,Wikidata property for authority control for writers'@en
P9085,780,Aracne author ID'@en,"Wikidata property for authority control (publishers)'@en,'Wikidata property for authority control for people'@en"
P2944,778,Plarr ID'@en,"Wikidata property related to London'@en,'Wikidata property related to medicine'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P9083,778,"45cat 7\"" release ID'@en",Wikidata property to identify musical works'@en
P5359,777,Operone composer ID'@en,Wikidata property to identify composers'@en
P10221,776,UNESCO ICH ID'@en,Wikidata property for authority control for cultural heritage'@en
P5370,768,Entomologists of the World ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to insects and entomology'@en,'Wikidata property for an identifier that suggests notability'@en"
P7032,767,Repertorium van ambtsdragers en ambtenaren ID'@en,Wikidata property for authority control for people'@en
P7509,765,Estonian biographical database ID'@en,Wikidata property for authority control for people'@en
P815,754,ITIS TSN'@en,Wikidata property to identify taxa'@en
P2774,750,FIS freestyle skier ID'@en,"Wikidata property for authority control for skiers'@en,'Wikidata property for an identifier that suggests notability'@en"
P8234,745,LiederNet author ID'@en,Wikidata property for authority control for artists'@en
P1265,743,AlloCiné film ID'@en,Wikidata property to identify films'@en
P3911,743,STW Thesaurus for Economics ID'@en,"Wikidata property related to economics'@en,'Wikidata property related to a thesaurus'@en"
P6202,739,Geolex ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for a multi-source identifier'@en,'Wikidata property related to geology'@en,'Wikidata property for an identifier that suggests notability'@en"
P3915,736,Australian Athletics Historical Results athlete ID'@en,Wikidata property for authority control for athletics competitors'@en
P3049,735,Scottish Football Association player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to a national football federation'@en"
P5580,733,Norwegian National Road DataBase ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to road transport'@en,'Wikidata property for an identifier that suggests notability'@en"
P6581,724,Deportation Database transport ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to rail transport'@en,'Wikidata property to identify events'@en,'Wikidata property for an identifier that suggests notability'@en"
P6878,720,Amburger database ID'@en,Wikidata property for authority control for people'@en
P9267,720,ANPI person numeric ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P3050,717,FACR player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property for an identifier that suggests notability'@en"
P8985,716,Dizionario bio-bibliografico dei bibliotecari italiani del XX secolo ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P8547,715,BHF author ID'@en,Wikidata property for authority control for people'@en
P8947,713,Museo Galileo authority ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control (libraries)'@en"
P3219,712,Encyclopædia Universalis ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P6015,711,Handbook of Texas ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P7918,709,Médias 19 ID'@en,Wikidata property for authority control for people'@en
P3647,707,NBA.com player ID'@en,"Wikidata property for authority control for basketball players'@en,'Wikidata property for an identifier that suggests notability'@en"
P8367,707,Legacy.com person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to websites'@en"
P10405,706,Biographisches Portal der Rabbiner ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier'@en,'Wikidata property for an identifier that suggests notability'@en"
P361,704,part of'@en,"Wikidata property for items about people'@en,'transitive property'@en,'asymmetric Wikidata property'@en,'Wikidata property used as \""depicts\"" (P180) qualifier on Commons'@en"
P3644,704,FFR player ID'@en,"Wikidata property for authority control for rugby union players'@en,'Wikidata property for an identifier that suggests notability'@en"
P8235,702,LiederNet composer ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify composers'@en"
P3072,694,Storting person ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property for authority control for politicians'@en"
P8777,690,NCAA Statistics coach ID'@en,"Wikidata property for authority control for sports coaches'@en,'Wikidata property related to college sports'@en"
P9807,682,SNK ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control (libraries)'@en"
P7133,677,Cleartrip hotel ID'@en,Wikidata property for authority control for hotels'@en
P2252,676,National Gallery of Art artist ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property for authority control for artists'@en"
P3074,676,Grace\'s Guide ID'@en,"Wikidata property for authority control'@en,'Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en"
P2549,670,Italian Senate of the Republic ID'@en,Wikidata property for authority control for politicians'@en
P10155,669,Babesdirectory ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to women and feminism'@en,'Wikidata property related to biographical dictionaries'@en"
P4992,669,DBA ID'@en,Wikidata property related to biographical dictionaries'@en
P10301,666,German Lobbyregister ID'@en,Wikidata property to identify organizations'@en
P2778,665,IAT triathlete ID'@en,"Wikidata property for authority control for triathletes'@en,'Wikidata property for an identifier that suggests notability'@en"
P9686,665,Classical Archives composer ID'@en,Wikidata property to identify composers'@en
P10377,663,Irish Registered Charity Number (RCN)'@en,"Wikidata property related to Ireland'@en,'Wikidata property to identify organizations'@en"
P2249,656,RefSeq genome ID'@en,Wikidata property to identify genes'@en
P2533,655,WomenWriters ID'@en,"Wikidata property related to women and feminism'@en,'Wikidata property for authority control for writers'@en"
P3668,653,Sambafoot player ID'@en,Wikidata property for authority control for association football players'@en
P4935,653,Small Monuments of Plzeň Catalogue ID'@en,Wikidata property for an identifier'@en
P9647,650,DIP ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property related to law and justice'@en"
P4658,649,Coflein ID'@en,Wikidata property to identify architectural structures'@en
P1288,647,Kritisches Lexikon der Gegenwartsliteratur ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to encyclopedias'@en"
P1610,645,Dialnet article ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for items about scholarly articles'@en"
P3807,644,S2A3 Biographical Database ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P5339,643,Lega Serie A soccer player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property for an identifier that suggests notability'@en"
P2641,642,Davis Cup player ID'@en,"Wikidata property for authority control for tennis players'@en,'Wikidata property for an identifier that suggests notability'@en"
P5508,642,archINFORM person or group ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property for authority control for architects'@en,'Wikidata property for an identifier that suggests notability'@en"
P9035,640,Muck Rack media outlet ID'@en,Wikidata property for authority control for the media'@en
P3154,639,Runeberg author ID'@en,Wikidata property for authority control for writers'@en
P9338,639,NFL.com player ID (new scheme)'@en,"Wikidata property for authority control for players of American football'@en,'Wikidata property for an identifier that suggests notability'@en"
P2779,638,IAT weightlifter ID'@en,"Wikidata property for authority control for weightlifters'@en,'Wikidata property for an identifier that suggests notability'@en"
P3544,632,Te Papa agent ID'@en,Wikidata property for authority control for artists'@en
P2914,629,MSBI person ID'@en,"Wikidata property related to Ireland'@en,'Wikidata property for authority control for people'@en,'Wikidata property related to sculpture'@en"
P9720,623,fotoCH photographer ID'@en,Wikidata property for authority control for photographers'@en
P3908,620,Reprezentacija player ID'@en,Wikidata property for authority control for association football players'@en
P5239,618,Artists in Canada record number'@en,Wikidata property for authority control for artists'@en
P2780,615,IAT diver ID'@en,"Wikidata property for authority control for divers'@en,'Wikidata property for an identifier that suggests notability'@en"
P9456,614,Periodical ID in a database of the Ministry of Culture of the Czech Republic'@en,Wikidata property for an identifier'@en
P2777,608,FIS snowboarder ID'@en,"Wikidata property for authority control for snowboarders'@en,'Wikidata property for an identifier that suggests notability'@en"
P5308,608,Dictionary of Scottish Architects ID'@en,"Wikidata property for authority control for architects'@en,'Wikidata property related to biographical dictionaries'@en"
P824,603,Meteoritical Bulletin Database ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to mineralogy'@en,'Wikidata property related to astronomy'@en"
P6411,599,LevskiSofia.info player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property for an identifier that suggests notability'@en"
P3604,597,World Triathlon triathlete ID'@en,"Wikidata property for authority control for triathletes'@en,'Wikidata property for an identifier that suggests notability'@en"
P9051,595,ICCD cultural heritage ID'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property for authority control for works'@en"
P1320,589,OpenCorporates ID'@en,"Wikidata property to identify businesses'@en,'Wikidata property for items about corporations'@en,'Wikidata property for an identifier that does not imply notability'@en"
P4550,589,CNRS research group ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property related to research'@en"
P3667,586,IWF athlete ID'@en,"Wikidata property for authority control for weightlifters'@en,'Wikidata property for an identifier that suggests notability'@en"
P2206,585,Discogs release ID'@en,Wikidata property to identify musical works'@en
P3645,585,All Blacks player ID'@en,"Wikidata property for authority control for rugby union players'@en,'Wikidata property for an identifier that suggests notability'@en"
P5271,584,Saint Louis Art Museum person ID'@en,Wikidata property for authority control for artists'@en
P7847,583,DigitaltMuseum ID'@en,Wikidata property for an identifier'@en
P1788,581,DVN ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to women and feminism'@en"
P1565,576,Enciclopedia de la Literatura en México ID'@en,"Wikidata property related to encyclopedias'@en,'Wikidata property for authority control for writers'@en,'Wikidata property for authority control for magazines'@en"
P3010,575,World Archery Federation ID'@en,"Wikidata property related to precision sports'@en,'Wikidata property for authority control for sports people'@en"
P5164,573,Flanders Arts Institute organisation ID'@en,Wikidata property for an identifier'@en
P5885,573,Microsoft Store product ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for items about software'@en,'Wikidata property for items about films'@en,'Wikidata property related to video games'@en,'Wikidata property related to television'@en,'Wikidata property related to e-commerce'@en"
P5368,567,National Gallery of Canada artist ID'@en,Wikidata property for authority control for artists'@en
P6723,565,BlackPast.org ID'@en,"Wikidata property related to Afro Americans'@en,'Wikidata property for an identifier'@en"
P4174,563,Wikimedia username'@en,"Wikidata property to identify online accounts'@en,'Wikidata property about Wikimedia entities'@en"
P3742,562,International Hockey Federation player ID'@en,Wikidata property for authority control for sports people'@en
P4203,561,ROARMAP ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for an identifier that suggests notability'@en"
P9506,561,Ultime lettere di condannati a morte e di deportati della Resistenza italiana person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en"
P1006,560,Nationale Thesaurus voor Auteurs ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control by VIAF member'@en"
P4532,559,Survey of Scottish Witchcraft - Trial ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to law and justice'@en"
P4177,556,Finnish National Gallery artist ID'@en,Wikidata property for authority control for artists'@en
P6715,553,SIUSA archive producer person ID'@en,Wikidata property for authority control for people'@en
P8728,552,Nachlässe in Austria ID'@en,Wikidata property for authority control for people'@en
P4687,548,Dictionnaire des peintres belges ID'@en,"Wikidata property for authority control for artists'@en,'Wikidata property related to biographical dictionaries'@en"
P8662,547,Les Roses cultivées à L\'Haÿ en 1902 ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to plants and botany'@en"
P380,546,Mérimée ID'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property for an identifier that suggests notability'@en"
P4303,536,Lega Pallavolo Serie A player ID'@en,"Wikidata property for authority control for volleyball players'@en,'Wikidata property for an identifier that suggests notability'@en"
P1989,534,Encyclopaedia Metallum artist ID'@en,"Wikidata property related to rock and metal'@en,'Wikidata property for authority control of musicians and musical ensembles'@en"
P3965,532,Bridgeman artist ID'@en,Wikidata property for authority control for artists'@en
P3187,528,Marburger Professorenkatalog ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en"
P347,528,Joconde work ID'@en,Wikidata property to identify artworks'@en
P2195,527,Soccerbase manager ID'@en,Wikidata property for authority control for association football managers'@en
P4718,525,Basketball-Reference.com NBA coach ID'@en,Wikidata property for authority control for basketball coaches'@en
P1285,518,Munzinger Sport number'@en,"Wikidata property to identify organizations'@en,'Wikidata property for authority control for sports people'@en"
P1960,517,Google Scholar author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to research'@en"
P8861,514,FINA Wiki ID'@en,"Wikidata property related to encyclopedias'@en,'Wikidata property linking to external MediaWiki wiki'@en"
P4109,511,URN-NBN'@en,Wikidata property for an identifier'@en
P2537,504,Free Software Directory entry'@en,"Wikidata property for authority control for works'@en,'Wikidata property for items about software'@en,'Wikidata property linking to external MediaWiki wiki'@en"
P933,504,Heritage NL ID'@en,Wikidata property for authority control for cultural heritage'@en
P2005,501,Catalogus Professorum Halensis ID'@en,"Wikidata property for authority control for academicians'@en,'Wikidata property for an identifier that suggests notability'@en"
P1430,499,OpenPlaques subject ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en"
P8134,496,Soccerdonna coach ID'@en,"Wikidata property for authority control for association football managers'@en,'Wikidata property related to women\'s sport'@en"
P2529,495,ČSFD film ID'@en,"Wikidata property to identify television shows and episodes'@en,'Wikidata property to identify films'@en,'Wikidata property to identify music videos'@en"
P4749,495,Dictionnaire des auteurs luxembourgeois ID'@en,"Wikidata property related to literature'@en,'Wikidata property related to biographical dictionaries'@en"
P5101,492,Swedish Literature Bank Author ID'@en,Wikidata property for authority control for writers'@en
P10141,489,Academy of Athens authority ID'@en,"Wikidata property for authority control (academies)'@en,'Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en"
P9298,488,Encyclopedia of Plzeň person ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P1667,485,Getty Thesaurus of Geographic Names ID'@en,"Wikidata property for authority control for places'@en,'Wikidata property related to a thesaurus'@en"
P8950,483,Dizionario degli artisti ID'@en,Wikidata property related to biographical dictionaries'@en
P6302,482,Dictionnaire de spiritualité ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to religions and beliefs'@en"
P1707,480,DAAO ID'@en,Wikidata property for authority control for artists'@en
P8311,480,PHI Latin Texts work ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property related to the Ancient World'@en"
P1291,473,Association Authors of Switzerland ID (former scheme)'@en,"Wikidata property for a former identification scheme'@en,'Wikidata property for authority control for writers'@en"
P455,473,Emporis building ID'@en,Wikidata property to identify architectural structures'@en
P888,471,JSTOR article ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for items about scholarly articles'@en,'Wikidata property for an identifier that suggests notability'@en"
P1977,468,Les Archives du spectacle person ID'@en,Wikidata property for authority control for people'@en
P1343,461,described by source'@en,Wikidata property to indicate a source'@en
P8098,459,Biographical Dictionary of Architects in Canada 1800-1950 ID'@en,"Wikidata property for authority control for architects'@en,'Wikidata property related to biographical dictionaries'@en"
P4491,455,Isidore scholar ID'@en,Wikidata property for authority control for people'@en
P6811,455,Prazdne Domy architect ID'@en,Wikidata property for authority control for architects'@en
P1702,454,DGPC ID'@en,Wikidata property for authority control for cultural heritage'@en
P6645,454,Stedelijk Museum Amsterdam ID'@en,Wikidata property for authority control for artists'@en
P3745,451,World Rugby Sevens Series player ID'@en,"Wikidata property for authority control for rugby sevens players'@en,'Wikidata property for an identifier that suggests notability'@en"
P4298,450,VBL people ID'@en,"Wikidata property for authority control for volleyball players'@en,'Wikidata property for an identifier that suggests notability'@en"
P3385,449,Japan Sumo Association ID'@en,"Wikidata property for authority control for sumo wrestlers'@en,'Wikidata property for an identifier that suggests notability'@en"
P3495,449,FilmPolski.pl ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for works'@en,'Wikidata property to identify films'@en"
P8277,447,AFL player ID'@en,"Wikidata property for authority control for Australian rules football players'@en,'Wikidata property for an identifier that suggests notability'@en"
P9890,447,Online Begraafplaatsen person ID'@en,"Wikidata property related to cemeteries and graves'@en,'Wikidata property for authority control for people'@en,'Wikidata property for an identifier that does not imply notability'@en"
P6156,446,MNAV artist ID'@en,"Wikidata property for authority control for artists'@en,'Wikidata property for an identifier that suggests notability'@en"
P846,446,GBIF taxon ID'@en,Wikidata property to identify taxa'@en
P8793,446,Quirinale ID'@en,Wikidata property for authority control for people'@en
P1954,445,Discogs master ID'@en,Wikidata property to identify musical releases'@en
P3652,443,Kontinental Hockey League player ID'@en,"Wikidata property for authority control for ice hockey players'@en,'Wikidata property for an identifier that suggests notability'@en"
P9247,443,Pontifical University of Salamanca ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control (libraries)'@en"
P2387,442,Elonet person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en"
P6412,439,Gran Enciclopèdia de la Música ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to music'@en,'Wikidata property related to encyclopedias'@en"
P8493,437,Denkmaldatenbank Thurgau ID'@en,Wikidata property for authority control for cultural heritage'@en
P4005,436,Bavarikon ID'@en,Wikidata property for authority control for places'@en
P4186,430,Australian Women\'s Register ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property related to women and feminism'@en"
P5079,430,NVE Lake Database ID'@en,"Wikidata property for authority control for places'@en,'Wikidata property for an identifier'@en,'Wikidata property for items about lakes'@en,'Wikidata property for an identifier that suggests notability'@en"
P4808,427,Royal Academy new identifier'@en,"Wikidata property related to London'@en,'Wikidata property related to art'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to archives'@en"
P4966,427,Hungarian National Assembly identifier'@en,Wikidata property for authority control for politicians'@en
P6105,427,Observation.org ID'@en,Wikidata property to identify taxa'@en
P6627,427,FaroeSoccer player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property for an identifier that suggests notability'@en"
P3629,426,age at event'@en,"Wikidata qualifier'@en,'Wikidata property for a person related event'@en,'Wikidata property related to events'@en,'Wikidata property related to age'@en"
P9996,425,Chi era Costui plaque ID'@en,"Wikidata property to identify architectural structures'@en,'Wikidata property related to burials, graves, and memorials'@en"
P9277,422,LFChistory.net player ID'@en,Wikidata property for authority control for association football players'@en
P2397,421,YouTube channel ID'@en,"Wikidata property to identify online accounts'@en,'Wikidata property related to video-sharing services'@en"
P4285,419,Theses.fr person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to education'@en"
P8249,418,MDAH\'s HRI ID'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property related to archives'@en"
P1391,411,Index Fungorum ID'@en,"Wikidata property related to mushrooms and mycology'@en,'Wikidata property to identify taxa'@en"
P3577,411,Croatian Football Federation player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property related to a national football federation'@en"
P3230,409,SCAR Composite Gazetteer place ID'@en,Wikidata property for authority control for places'@en
P8432,409,Österreichisches Musiklexikon Online ID'@en,"Wikidata property related to music'@en,'Wikidata property related to encyclopedias'@en"
P3608,407,EU VAT number'@en,Wikidata property to identify organizations in company registers'@en
P5038,405,Fogis.se player ID'@en,Wikidata property for authority control for association football players'@en
P9699,405,FOIH themes ID'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property for authority control for places'@en"
P8312,403,Musisque Deoque work ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property related to the Ancient World'@en"
P8616,403,Kansas Historic Resources Inventory ID'@en,Wikidata property to identify architectural structures'@en
P5645,401,Académie française award winner ID'@en,"Wikidata property for authority control for writers'@en,'Wikidata property related to awards, prizes and honours'@en"
