,,,
Referrer,Count,Label,Types
P661,123574,ChemSpider ID'@en,"Wikidata property to identify substances'@en,'Wikidata property related to chemistry'@en"
P2427,114963,GRID ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en"
P1683,113264,quotation'@en,"Wikidata property to indicate a source'@en,'Wikidata property for lexicographical data'@en"
P2446,112400,Transfermarkt player ID'@en,Wikidata property for authority control for association football players'@en
P2701,110367,file format'@en,"Wikidata qualifier'@en,'Wikidata property related to data communication, storage, and retrieval'@en"
P3430,109816,SNAC ARK ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en"
P4075,109579,Czech Monument Catalogue Number'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property for authority control for places'@en"
P2880,107563,NIOSHTIC-2 ID'@en,Wikidata property for authority control for works'@en
P5997,106647,stated in reference as'@en,Wikidata property'@en
P683,99343,ChEBI ID'@en,Wikidata property to identify substances'@en
P4381,96388,Soccerdonna player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property related to women\'s sport'@en"
P6844,92316,abART person ID'@en,"Wikidata property for items about people'@en,'Wikidata property for authority control for people'@en,'Wikidata property for a multi-source identifier'@en,'Wikidata property related to art'@en,'Wikidata property for an identifier that suggests notability'@en"
P2163,87856,FAST ID'@en,Wikidata property for authority control by VIAF member'@en
P10487,87706,Skyscanner hotel ID'@en,"Wikidata property for authority control for hotels'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to e-commerce'@en"
P686,79264,Gene Ontology ID'@en,Wikidata property for authority control'@en
P1402,78858,Foundational Model of Anatomy ID'@en,"Wikidata property for authority control'@en,'Wikidata property related to human anatomy'@en"
P1440,74605,FIDE player ID'@en,"Wikidata property for authority control for chess players'@en,'Wikidata property for an identifier that does not imply notability'@en"
P10553,74232,IxTheo authority ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property related to religions and beliefs'@en"
P1065,72983,archive URL'@en,"Wikidata qualifier'@en,'Wikidata property to indicate a source'@en,'Wikidata property related to data communication, storage, and retrieval'@en,'Wikidata property related to archives'@en"
P6736,70777,Drobné památky ID'@en,"Wikidata property for items about works'@en,'Wikidata property for authority control for works'@en"
P244,64958,Library of Congress authority ID'@en,"Wikidata property for authority control'@en,'Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control by VIAF member'@en,'Wikidata property for an identifier that suggests notability'@en"
P245,64711,Union List of Artist Names ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property related to art'@en,'Wikidata property for authority control by VIAF member'@en,'Wikidata property for authority control for artists'@en"
P4327,64285,BHL bibliography ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for authority control for academic journals'@en"
P1207,63868,NUKAT ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control by VIAF member'@en"
P650,62941,RKDartists ID'@en,Wikidata property for authority control for artists'@en
P958,62531,"section, verse, paragraph, or clause'@en","Wikidata property to indicate a source'@en,'Wikidata property with datatype string that is not an external identifier'@en"
P6786,61016,National Library of Wales Catalogue ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for authority control (libraries)'@en"
P1953,59764,Discogs artist ID'@en,"Wikidata property for an identifier that does not imply notability'@en,'Wikidata property for authority control of musicians and musical ensembles'@en"
P2926,58087,InterPro ID'@en,"Wikidata property to identify substances'@en,'Wikidata property related to chemistry'@en"
P652,56361,UNII'@en,"Wikidata property to identify substances'@en,'Wikidata property related to medicine'@en,'Wikidata property related to chemistry'@en,'Wikidata property related to food and eating'@en"
P535,56327,Find a Grave memorial ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for cemeteries'@en,'Wikidata property related to genealogy'@en,'Wikidata property for an identifier that does not imply notability'@en"
P2566,55350,ECHA Substance Infocard ID'@en,Wikidata property to identify substances'@en
P586,53592,IPNI author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to plants and botany'@en"
P724,52556,Internet Archive ID'@en,Wikidata property for authority control for works'@en
P592,50076,ChEMBL ID'@en,"Wikidata property to identify substances'@en,'Wikidata property related to medicine'@en,'Wikidata property related to chemistry'@en"
P7848,49694,Frick Art Reference Library Artist File ID'@en,"Wikidata property related to New York City'@en,'Wikidata property for authority control for people'@en"
P9037,49503,BHCL UUID'@en,Wikidata property for authority control'@en
