Preferred Claims (preferredRank-claims-pred-count-label) - Contagem de predicados associados a CLAIMS com rank=preferred,,,,,
Predicate,Count,Label,Frequency,,Accumulated Freq
P973,294,described at URL'@en,"0,01",,
P559,286,terminus'@en,"0,01",,
P742,282,pseudonym'@en,"0,01",,
P123,282,publisher'@en,"0,01",,
P490,273,provisional designation'@en,0,,
P5353,271,school district'@en,0,,
P463,269,member of'@en,0,,
P300,269,ISO 3166-2 code'@en,0,,
P136,269,genre'@en,0,,
P1220,268,Internet Broadway Database person ID'@en,0,,
P345,264,IMDb ID'@en,0,,
P281,264,postal code'@en,0,,
P115,263,home venue'@en,0,,
P2504,261,Norwegian municipality number'@en,0,,
P4876,259,number of records'@en,0,,
P2131,257,nominal GDP'@en,0,,
P1603,257,number of cases'@en,0,,
P2132,256,nominal GDP per capita'@en,0,,
P1120,256,number of deaths'@en,0,,
P648,245,Open Library ID'@en,0,,
P669,239,located on street'@en,0,,
P579,237,IMA status and/or rank'@en,0,,
P2123,237,YerelNet village ID'@en,0,,
P1081,231,Human Development Index'@en,0,,
P449,227,original broadcaster'@en,0,,
P708,225,diocese'@en,0,,
P50,225,author'@en,0,,
P4441,225,hydraulic head'@en,0,,
P5101,221,Swedish Literature Bank Author ID'@en,0,,
P170,217,creator'@en,0,,
P4224,214,category contains'@en,0,,
P244,214,Library of Congress authority ID'@en,0,,
P180,214,depicts'@en,0,,
P1140,211,EHAK id'@en,0,,
P355,210,subsidiary'@en,0,,
P2250,208,life expectancy'@en,0,,
P6263,206,MinDat mineral ID'@en,0,,
P7859,203,WorldCat Identities ID'@en,0,,
P4841,203,total fertility rate'@en,0,,
P21,199,sex or gender'@en,0,,
P2003,198,Instagram username'@en,0,,
P4010,197,GDP (PPP)'@en,0,,
P2299,197,PPP GDP per capita'@en,0,,
P879,196,pennant number'@en,0,,
P1279,195,inflation rate'@en,0,,
P5491,193,BD Gest\' author ID'@en,0,,
P1174,190,visitors per year'@en,0,,
P213,189,ISNI'@en,0,,
P495,188,country of origin'@en,0,,
P2397,181,YouTube channel ID'@en,0,,
P1098,181,"number of speakers, writers, or signers'@en",0,,
P466,176,occupant'@en,0,,
P35,176,head of state'@en,0,,
P2134,176,total reserves'@en,0,,
P605,172,NUTS code'@en,0,,
P2671,172,Google Knowledge Graph ID'@en,0,,
P2573,172,number of out-of-school children'@en,0,,
P582,171,end time'@en,0,,
P1824,167,road number'@en,0,,
P2789,164,connects with'@en,0,,
P1621,163,detail map'@en,0,,
P140,163,religion or worldview'@en,0,,
P366,162,has use'@en,0,,
P6127,158,Letterboxd film ID'@en,0,,
P800,155,notable work'@en,0,,
P5104,151,New Zealand Gazetteer place ID'@en,0,,
P2145,150,explosive energy equivalent'@en,0,,
P576,148,"dissolved, abolished or demolished date'@en",0,,
P496,147,ORCID iD'@en,0,,
