Multiple value no Qualified Claims (filtered-claims-without-quals-counted-label) - Contagem de predicaos para o conjunto filtrado de múltiplos valores SEM qualificação,,,,,,,,,,,,,,
Predicate,Count,Label,Frequency,,Accumulated Freq,,,,,,,,,
P400,70580,platform'@en,"0,17",,"88,66",,,,,,,,101380,
P7328,69288,amount cataloged'@en,"0,17",,"88,83",,,,,,,,88359,
P1923,68080,participating team'@en,"0,16",,"88,99",,,,,,,,161213,
P2093,67819,author name string'@en,"0,16",,"89,15",,,,,,,,398874,
P102,65998,member of political party'@en,"0,16",,"89,31",,,,,,,,502634,
P641,65277,sport'@en,"0,16",,"89,47",,,,,,,,1910674,
P750,64705,distributed by'@en,"0,16",,"89,63",,,,,,,,155897,
P1001,62532,applies to jurisdiction'@en,"0,15",,"89,78",,,,,,,,947743,
P2521,60959,female form of label'@en,"0,15",,"89,93",,,,,,,,131776,
P734,59421,family name'@en,"0,14",TOP-K,"90,07",,,,,,,,4010661,
P495,59279,country of origin'@en,"0,14",,"90,21",,,,,,,,1331505,
P974,58731,tributary'@en,"0,14",,"90,35",,,,,,,,72253,
P264,55781,record label'@en,"0,13",,"90,48",,,,,,,,341546,
P1303,55124,instrument'@en,"0,13",,"90,61",,,,,,,,211460,
P437,54193,distribution format'@en,"0,13",,,,,,,,,,212216,
P1441,53181,present in work'@en,"0,13",,,,,,,,,,128959,
P800,51185,notable work'@en,"0,12",,,,,,,,,,95659,
P571,48058,inception'@en,"0,12",,,,,,,,,,2538835,
P197,47526,adjacent station'@en,"0,11",,,,,,,,,,214327,
P2888,46416,exact match'@en,"0,11",,,,,,,,,,550695,
P1705,45892,native label'@en,"0,11",,,,,,,,,,838882,
P1066,44981,student of'@en,"0,11",,,,,,,,,,87659,
P6879,44421,effective temperature'@en,"0,11",,,,,,,,,,639377,
P1435,41857,heritage designation'@en,"0,1",,,,,,,,,,2104249,
P802,41397,student'@en,"0,1",,,,,,,,,,63495,
P421,40802,located in time zone'@en,"0,1",,,,,,,,,,2016829,
P577,40311,publication date'@en,"0,1",,,,,,,,,,2536217,
P175,40061,performer'@en,"0,1",,,,,,,,,,504429,
P162,39826,producer'@en,"0,1",,,,,,,,,,176485,
P2851,38233,payment types accepted'@en,"0,09",,,,,,,,,,39245,
P57,37381,director'@en,"0,09",,,,,,,,,,333611,
P7015,35831,surface gravity'@en,"0,09",,,,,,,,,,558681,
P2079,35181,fabrication method'@en,"0,08",,,,,,,,,,127100,
P19,34129,place of birth'@en,"0,08",,,,,,,,,,3064487,
P2567,34006,amended by'@en,"0,08",,,,,,,,,,38200,
P6099,33887,clinical trial phase'@en,"0,08",,,,,,,,,,177423,
P6375,32922,street address'@en,"0,08",,,,,,,,,,1276158,
P2044,32746,elevation above sea level'@en,"0,08",,,,,,,,,,1351212,
P725,32218,voice actor'@en,"0,08",,,,,,,,,,65122,
P2214,31959,parallax'@en,"0,08",,,,,,,,,,3674757,
P170,31421,creator'@en,"0,08",,,,,,,,,,871782,
P551,31396,residence'@en,"0,08",,,,,,,,,,291467,
P1383,31076,contains settlement'@en,"0,08",,,,,,,,,,34078,
P793,31005,significant event'@en,"0,07",,,,,,,,,,460703,
P138,30975,named after'@en,"0,07",,,,,,,,,,375152,
P2936,30369,language used'@en,"0,07",,,,,,,,,,43130,
P2583,30011,distance from Earth'@en,"0,07",,,,,,,,,,3027938,
P1269,29981,facet of'@en,"0,07",,,,,,,,,,115848,
P190,29143,twinned administrative body'@en,"0,07",,,,,,,,,,48991,
P6257,28939,right ascension'@en,"0,07",,,,,,,,,,8091255,
P6258,28683,declination'@en,"0,07",,,,,,,,,,8091122,
P2227,28218,metallicity'@en,"0,07",,,,,,,,,,230744,
P215,28091,spectral class'@en,"0,07",,,,,,,,,,770031,
P8875,27970,indexed in bibliographic review'@en,"0,07",,,,,,,,,,55432,
P1830,27875,owner of'@en,"0,07",,,,,,,,,,45961,
P26,27383,spouse'@en,"0,07",,,,,,,,,,732347,
P688,26073,encodes'@en,"0,06",,,,,,,,,,973792,
P81,25847,connecting line'@en,"0,06",,,,,,,,,,113134,
P1192,25271,connecting service'@en,"0,06",,,,,,,,,,42325,
P272,24874,production company'@en,"0,06",,,,,,,,,,120117,
P742,24307,pseudonym'@en,"0,06",,,,,,,,,,64061,
P1365,23806,replaces'@en,"0,06",,,,,,,,,,86406,
P20,22494,place of death'@en,"0,05",,,,,,,,,,1223012,
P171,22142,parent taxon'@en,"0,05",,,,,,,,,,3613473,
P137,22010,operator'@en,"0,05",,,,,,,,,,541793,
P1532,21324,country for sport'@en,"0,05",,,,,,,,,,206642,
P452,21091,industry'@en,"0,05",,,,,,,,,,114173,
P3148,20759,repeals'@en,"0,05",,,,,,,,,,28850,
P3578,20593,autologous cell line'@en,"0,05",,,,,,,,,,28392,
P404,20592,game mode'@en,"0,05",,,,,,,,,,43607,
P118,20428,league'@en,"0,05",,,,,,,,,,192837,
P559,20182,terminus'@en,"0,05",,,,,,,,,,61172,
P112,20036,founded by'@en,"0,05",,,,,,,,,,74571,
P702,19534,encoded by'@en,"0,05",,,,,,,,,,976833,
P5008,19304,on focus list of Wikimedia project'@en,"0,05",,,,,,,,,,620518,
P5236,18859,prime factor'@en,"0,05",,,,,,,,,,151202,
P172,18338,ethnic group'@en,"0,04",,,,,,,,,,163214,
P747,18249,has edition or translation'@en,"0,04",,,,,,,,,,87773,
P86,17906,composer'@en,"0,04",,,,,,,,,,189590,
P364,17859,original language of film or TV show'@en,"0,04",,,,,,,,,,352622,
P2561,17830,name'@en,"0,04",,,,,,,,,,206137,
P61,17803,discoverer or inventor'@en,"0,04",,,,,,,,,,84472,
P840,17772,narrative location'@en,"0,04",,,,,,,,,,91836,
P2868,17494,subject has role'@en,"0,04",,,,,,,,,,355223,
P123,17186,publisher'@en,"0,04",,,,,,,,,,290842,
P2643,17084,Carnegie Classification of Institutions of Higher Education'@en,"0,04",,,,,,,,,,17091,
P1433,16979,published in'@en,"0,04",,,,,,,,,,1229643,
P127,16651,owned by'@en,"0,04",,,,,,,,,,469612,
P413,16408,position played on team / speciality'@en,"0,04",,,,,,,,,,403397,
P1552,16350,has quality'@en,"0,04",,,,,,,,,,69339,
P1536,16044,immediate cause of'@en,"0,04",,,,,,,,,,18765,
P1813,15967,short name'@en,"0,04",,,,,,,,,,195756,
P8872,15919,has marker'@en,"0,04",,,,,,,,,,15945,
P4101,15615,dissertation submitted to'@en,"0,04",,,,,,,,,,76098,
P859,15345,sponsor'@en,"0,04",,,,,,,,,,135579,
P306,15313,operating system'@en,"0,04",,,,,,,,,,39526,
P366,15215,has use'@en,"0,04",,,,,,,,,,92867,
P915,14801,filming location'@en,"0,04",,,,,,,,,,32921,
P1376,14788,capital of'@en,"0,04",,,,,,,,,,85565,
P149,14448,architectural style'@en,"0,03",,,,,,,,,,139111,
P1547,14391,depends on software'@en,"0,03",,,,,,,,,,18947,
P206,14308,located in or next to body of water'@en,"0,03",,,,,,,,,,78371,
P140,14158,religion or worldview'@en,"0,03",,,,,,,,,,450242,
P1416,13739,affiliation'@en,"0,03",,,,,,,,,,87975,
P1142,13712,political ideology'@en,"0,03",,,,,,,,,,24135,
P1056,13524,product or material produced'@en,"0,03",,,,,,,,,,46247,
